Account,Date,total_trades,net_volume,gross_volume,total_pnl,wins,losses,max_drawdown,num_trades,win_rate,timestamp,value,classification,date,sharpe_ratio,signal
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-12,93,-10921.04272,11546.929100000001,1582.001112,32,8,-58.924386,93,0.8,1731389400,80,Extreme Greed,2024-11-12,1.121037708688179,Hold
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,147,-15600.11231,29296.83781,5806.86932,82,5,-53.409456,147,0.9425287356321839,1733981400,83,Extreme Greed,2024-12-12,2.6439349772525316,Hold
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,59,-8611.705,23932.945,109.82694000000001,21,0,0.0,59,1.0,1735709400,66,Greed,2025-01-01,0.04829884169407656,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,51,9850.09,13482.01,3.536668000000001,21,8,-17.930871,51,0.7241379310344828,1735795800,70,Greed,2025-01-02,0.0014812018326575166,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,37,52.29999436999995,2408.70000563,557.9358,14,0,0.0,37,1.0,1735882200,74,Greed,2025-01-03,0.22992975825927947,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,41,-444902.86,554624.74,768.351892,27,2,-4.36812,41,0.9310344827586207,1735968600,73,Greed,2025-01-04,0.31282542694489057,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,2,-14.0,14.0,16.923621,2,0,7.487838,2,1.0,1736055000,72,Greed,2025-01-05,0.04836822089224133,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-01,101,-23793.42474,28372.62474,416.546688,46,1,-4.358652,101,0.9787234042553191,1738387800,68,Greed,2025-02-01,1.2369296046527518,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-02,91,-6040.400000000001,78369.04,-1416.906536,5,11,-815.648519,91,0.3125,1738474200,60,Greed,2025-02-02,-1.6200971402886046,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-03,73,-4449.5650000000005,15253.565,8330.21747,56,0,0.0,73,1.0,1738560600,44,Fear,2025-02-03,2.169128292057744,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-04,70,-318467.55,912417.25,669.381363,42,0,0.0,70,1.0,1738647000,72,Greed,2025-02-04,0.17404114564383988,Sell
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-01,69,26002.29488,29961.94512,250.581483,36,3,-14.35003,69,0.9230769230769231,1740807000,20,Extreme Fear,2025-03-01,0.06553943885259464,Hold
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-02,75,-1007.8349096700001,8169.2949096699995,439.634046,45,1,-8.0,75,0.9782608695652174,1740893400,26,Fear,2025-03-02,0.11504164463960272,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-03,58,2778.5,7744.5,494.669357,21,0,0.0,58,1.0,1740979800,33,Fear,2025-03-03,0.14048144466474016,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-03-04,85,493589.89999999997,1478642.3,149.51234499999998,10,11,-9.7026,85,0.47619047619047616,1741066200,15,Extreme Fear,2025-03-04,0.7291841469629058,Hold
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-01,81,-5454.425139999999,12475.825139999999,232.66549799999999,40,8,-2.634044,81,0.8333333333333334,1743485400,34,Fear,2025-04-01,1.585687221040407,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-02,48,1023.7759699999999,6412.29803,1291.500575,17,0,0.0,48,1.0,1743571800,44,Fear,2025-04-02,2.8487623092623298,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-03,43,3339.0699999999997,3340.0699999999997,163.73415,13,0,0.0,43,1.0,1743658200,25,Fear,2025-04-03,0.3398894174806923,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-04-04,100,-239855.0,544315.26,498.73528200000004,56,7,-8.937,100,0.8888888888888888,1743744600,28,Fear,2025-04-04,1.0351698960860234,Buy
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-01,82,-15492.97,19675.57,87.752181,44,3,-4.445354,82,0.9361702127659575,1746077400,53,Neutral,2025-05-01,0.1781255911395735,Hold
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-05-02,83,702.84413,7689.87587,696.8107239999999,37,1,-0.78,83,0.9736842105263158,1746163800,67,Greed,2025-05-02,1.4398232544572225,Sell
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-01-11,14,0.0,57936.0,-0.09906000000000104,4,4,-3.48624,14,0.5,1704951000,76,Extreme Greed,2024-01-11,-0.00033485129256642356,Hold
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-02-12,53,11.0,171439.0,16196.864846,30,0,0.0,53,1.0,1707715800,70,Greed,2024-02-12,2.2793847777000025,Sell
